,id,name,address,city,state,area,postal_code,country,phone,lat,lng,price,reserve_url,mobile_reserve_url,image_url,Unnamed: 0,overall_rating,recommended_to_a_friend,food,service,ambiance,noise_level,dining_style,cuisines,price_range,hours_of_operation
0,144703,John Dory Oyster Bar,1196 Broadway,New York,NY,New York / Tri-State Area,10001,US,2127929000x,40.745962,-73.98862199999999,4,https://www.opentable.com/john-dory-oyster-bar,http://mobile.opentable.com/opentable/?restId=144703,https://www.opentable.com/img/restimages/144703.jpg,0.0,4.0,83.0,4.1,3.7,3.9,Moderate,Casual Dining,Seafood,$50 and over,Brunch: Saturday - Sunday: 12:00pm - 4:00pmLunch: Monday - Sunday: 12:00pm -4:00pmDinner: Monday - Sunday: 5:00pm - 12:00am
1,115345,Pergola,36 West 28th St,New York,NY,New York / Tri-State Area,10001,US,2126794842x,40.745394,-73.989588,2,http://www.opentable.com/single.aspx?rid=115345,http://mobile.opentable.com/opentable/?restId=115345,https://www.opentable.com/img/restimages/115345.jpg,1.0,4.3,86.0,4.4,3.8,4.1,Moderate,Casual Elegant,Mediterranean,$30 and under,Monday-Friday: 11am-2amSaturday  4pm-2amSunday 5pm-2am 
2,115729,Gastromarket,315 10th Ave,New York,NY,New York / Tri-State Area,10001,US,2126958080x,40.751123,-74.00206899999999,3,http://www.opentable.com/single.aspx?rid=115729,http://mobile.opentable.com/opentable/?restId=115729,https://www.opentable.com/img/restimages/115729.jpg,2.0,4.3,93.0,4.2,4.2,4.3,Moderate,Casual Elegant,American Brewery Greek,$31 to $50,Lunch: Mon-Fri 11:30pm - 4:00pmDinner: Sun-Wed: 4:00pm - 10:00pm Thurs-Sat: 4:00pm-11:00pm  Brunch Sat & Sun 11:00am - 4:00pm 
3,345,Bottino,246 10th Ave,New York,NY,New York / Tri-State Area,10001,US,2122066767,40.748476000000004,-74.003339,3,http://www.opentable.com/single.aspx?rid=345,http://mobile.opentable.com/opentable/?restId=345,https://www.opentable.com/img/restimages/345.jpg,3.0,4.3,91.0,4.2,4.2,4.3,Moderate,Fine Dining,Italian,$31 to $50,Lunch: Tuesday - Saturday: 12:00pm - 3:30pm; Dinner: Monday - Saturday: 6:00pm - 11:30pm Sunday: 5:30pm - 10:30pm     
4,103945,Chop Shop,254 10th Avenue,New York,NY,New York / Tri-State Area,10001,US,2128200333,40.748698,-74.00322800000001,3,http://www.opentable.com/single.aspx?rid=103945,http://mobile.opentable.com/opentable/?restId=103945,https://www.opentable.com/img/restimages/103945.jpg,4.0,4.7,92.0,4.7,4.7,4.4,Moderate,Casual Dining,Asian Chinese Thai,$31 to $50,Monday - Saturday: 12:00pm - 4:00pmMonday - Saturday: 5:30pm - 10:30pmSunday: 5:00pm - 9:30pm
5,88648,Humphrey,851 Sixth Avenue,New York,NY,New York / Tri-State Area,10001,US,2122014065,40.747236,-73.989643,3,http://www.opentable.com/single.aspx?rid=88648,http://mobile.opentable.com/opentable/?restId=88648,https://www.opentable.com/img/restimages/88648.jpg,5.0,4.4,83.0,4.3,3.9,4.3,Moderate,Casual Elegant,American Italian,$31 to $50,Monday-Sunday: Breakfast 7:00 am-11:30 amLunch and Dinner 11:30am- 2:00am
6,20263,Tredici Steak,128 West 26th Street,New York,NY,New York / Tri-State Area,10001,US,2122432085,40.745065000000004,-73.99274,3,http://www.opentable.com/single.aspx?rid=20263,http://mobile.opentable.com/opentable/?restId=20263,https://www.opentable.com/img/restimages/20263.jpg,,,,,,,,,,,
7,101443,The Heath,542 W. 27th,New York,NY,New York / Tri-State Area,10001,US,2125641662x,40.750907,-74.004189,3,http://www.opentable.com/single.aspx?rid=101443,http://mobile.opentable.com/opentable/?restId=101443,https://www.opentable.com/img/restimages/101443.jpg,6.0,4.3,84.0,4.0,4.1,4.6,Moderate,Casual Dining,Continental European,$30 and under,EVENINGSunday-Thursday  5PM - 11PM Friday & Saturday   5PM - 1AM Dinner Service is available 7 days a week from 5:30PM -  11PMBRUNCHSaturday &  Sunday11:30am - 4:00pm
8,92776,GAONNURI,1250 BROADWAY 39th Floor,New York,NY,New York / Tri-State Area,10001,US,2129719045x,40.748135,-73.988038,3,http://www.opentable.com/single.aspx?rid=92776,http://mobile.opentable.com/opentable/?restId=92776,https://www.opentable.com/img/restimages/92776.jpg,7.0,4.5,94.0,4.4,4.4,4.7,Quiet,Casual Elegant,Korean Barbecue Vegetarian,$31 to $50,RESTAURANT----------------------------------------------------------------LUNCH :Monday - Friday: 12:00 PM - 2:00 PMDINNER : Monday - Sunday 5:00PM - 10:00 PMSATURDAY & SUNDAY DINNER ONLY----------------------------------------------------------------BAR & LOUNGE - SKY ROOM----------------------------------------------------------------LUNCH: Monday - Friday: 12:00 PM - 2:00 PMDINNER: Monday - Sunday 5:00PM - 12:00 PMSATURDAY & SUNDAY DINNER ONLY ----------------------------------------------------------------
9,96586,L&W Oyster Co,254 5th Ave.,New York,NY,New York / Tri-State Area,10001,US,212-203-7772x,40.744908,-73.987358,3,http://www.opentable.com/single.aspx?rid=96586,http://mobile.opentable.com/opentable/?restId=96586,https://www.opentable.com/img/restimages/96586.jpg,,,,,,,,,,,
